date,direction,entry_time,entry_price,sl_price,tp_price,exit_time,exit_price,exit_reason,pnl_points,pnl_dollars,zone_high,zone_low,zone_mid,sl_source,macro_bias
2026-04-09,short,2026-04-09 08:30:00,25040.12,25065.0,24890.88,2026-04-09 09:00:00,25051.38,trail_sl,-11.25,-227.8,25050.75,25029.5,25040.125,asia_high,short
2026-04-10,long,2026-04-10 10:00:00,25273.38,25248.38,25423.38,2026-04-10 10:30:00,25348.75,trail_sl,75.38,1504.7,25283.0,25263.75,25273.375,default,None
2026-04-21,short,2026-04-21 08:30:00,26870.62,26901.75,26683.88,2026-04-21 09:00:00,26777.12,trail_sl,93.5,1867.2,26880.25,26861.0,26870.625,london_high,None
2026-04-23,short,2026-04-23 09:30:00,27052.75,27077.75,26902.75,2026-04-23 10:00:00,27006.0,trail_sl,46.75,932.2,27078.5,27027.0,27052.75,default,short
2026-04-24,short,2026-04-24 08:30:00,27280.0,27305.0,27130.0,2026-04-24 09:00:00,27251.25,trail_sl,28.75,572.2,27292.25,27267.75,27280.0,default,short
